glyph,position,value,grade,id
" ",1,0,NA," -1"
" ",2,0,NA," -2"
" ",3,0,NA," -3"
" ",4,0,NA," -4"
" ",5,0,NA," -5"
" ",6,0,NA," -6"
a,1,1,1,a-1
a,2,0,1,a-2
a,3,0,1,a-3
a,4,0,1,a-4
a,5,0,1,a-5
a,6,0,1,a-6
b,1,1,1,b-1
b,2,0,1,b-2
b,3,1,1,b-3
b,4,0,1,b-4
b,5,0,1,b-5
b,6,0,1,b-6
c,1,1,1,c-1
c,2,1,1,c-2
c,3,0,1,c-3
c,4,0,1,c-4
c,5,0,1,c-5
c,6,0,1,c-6
d,1,1,1,d-1
d,2,1,1,d-2
d,3,0,1,d-3
d,4,1,1,d-4
d,5,0,1,d-5
d,6,0,1,d-6
e,1,1,1,e-1
e,2,0,1,e-2
e,3,0,1,e-3
e,4,1,1,e-4
e,5,0,1,e-5
e,6,0,1,e-6
f,1,1,1,f-1
f,2,1,1,f-2
f,3,1,1,f-3
f,4,0,1,f-4
f,5,0,1,f-5
f,6,0,1,f-6
g,1,1,1,g-1
g,2,1,1,g-2
g,3,1,1,g-3
g,4,1,1,g-4
g,5,0,1,g-5
g,6,0,1,g-6
h,1,1,1,h-1
h,2,0,1,h-2
h,3,1,1,h-3
h,4,1,1,h-4
h,5,0,1,h-5
h,6,0,1,h-6
i,1,0,1,i-1
i,2,1,1,i-2
i,3,1,1,i-3
i,4,0,1,i-4
i,5,0,1,i-5
i,6,0,1,i-6
j,1,0,1,j-1
j,2,1,1,j-2
j,3,1,1,j-3
j,4,1,1,j-4
j,5,0,1,j-5
j,6,0,1,j-6
k,1,1,2,k-1
k,2,0,2,k-2
k,3,0,2,k-3
k,4,0,2,k-4
k,5,1,2,k-5
k,6,0,2,k-6
l,1,1,2,l-1
l,2,0,2,l-2
l,3,1,2,l-3
l,4,0,2,l-4
l,5,1,2,l-5
l,6,0,2,l-6
m,1,1,2,m-1
m,2,1,2,m-2
m,3,0,2,m-3
m,4,0,2,m-4
m,5,1,2,m-5
m,6,0,2,m-6
n,1,1,2,n-1
n,2,1,2,n-2
n,3,0,2,n-3
n,4,1,2,n-4
n,5,1,2,n-5
n,6,0,2,n-6
o,1,1,2,o-1
o,2,0,2,o-2
o,3,0,2,o-3
o,4,1,2,o-4
o,5,1,2,o-5
o,6,0,2,o-6
p,1,1,2,p-1
p,2,1,2,p-2
p,3,1,2,p-3
p,4,0,2,p-4
p,5,1,2,p-5
p,6,0,2,p-6
q,1,1,2,q-1
q,2,1,2,q-2
q,3,1,2,q-3
q,4,1,2,q-4
q,5,1,2,q-5
q,6,0,2,q-6
r,1,1,2,r-1
r,2,0,2,r-2
r,3,1,2,r-3
r,4,1,2,r-4
r,5,1,2,r-5
r,6,0,2,r-6
s,1,0,2,s-1
s,2,1,2,s-2
s,3,1,2,s-3
s,4,0,2,s-4
s,5,1,2,s-5
s,6,0,2,s-6
t,1,0,2,t-1
t,2,1,2,t-2
t,3,1,2,t-3
t,4,1,2,t-4
t,5,1,2,t-5
t,6,0,2,t-6
u,1,1,3,u-1
u,2,0,3,u-2
u,3,0,3,u-3
u,4,0,3,u-4
u,5,1,3,u-5
u,6,1,3,u-6
v,1,1,3,v-1
v,2,0,3,v-2
v,3,1,3,v-3
v,4,0,3,v-4
v,5,1,3,v-5
v,6,1,3,v-6
w,1,0,3,w-1
w,2,1,3,w-2
w,3,1,3,w-3
w,4,1,3,w-4
w,5,0,3,w-5
w,6,1,3,w-6
x,1,1,3,x-1
x,2,1,3,x-2
x,3,0,3,x-3
x,4,0,3,x-4
x,5,1,3,x-5
x,6,1,3,x-6
y,1,1,3,y-1
y,2,1,3,y-2
y,3,0,3,y-3
y,4,1,3,y-4
y,5,1,3,y-5
y,6,1,3,y-6
z,1,1,3,z-1
z,2,0,3,z-2
z,3,0,3,z-3
z,4,1,3,z-4
z,5,1,3,z-5
z,6,1,3,z-6
1,1,1,NA,1-1
1,2,0,NA,1-2
1,3,0,NA,1-3
1,4,0,NA,1-4
1,5,0,NA,1-5
1,6,0,NA,1-6
2,1,1,NA,2-1
2,2,0,NA,2-2
2,3,1,NA,2-3
2,4,0,NA,2-4
2,5,0,NA,2-5
2,6,0,NA,2-6
3,1,1,NA,3-1
3,2,1,NA,3-2
3,3,0,NA,3-3
3,4,0,NA,3-4
3,5,0,NA,3-5
3,6,0,NA,3-6
4,1,1,NA,4-1
4,2,1,NA,4-2
4,3,0,NA,4-3
4,4,1,NA,4-4
4,5,0,NA,4-5
4,6,0,NA,4-6
5,1,1,NA,5-1
5,2,0,NA,5-2
5,3,0,NA,5-3
5,4,1,NA,5-4
5,5,0,NA,5-5
5,6,0,NA,5-6
6,1,1,NA,6-1
6,2,1,NA,6-2
6,3,1,NA,6-3
6,4,0,NA,6-4
6,5,0,NA,6-5
6,6,0,NA,6-6
7,1,1,NA,7-1
7,2,1,NA,7-2
7,3,1,NA,7-3
7,4,1,NA,7-4
7,5,0,NA,7-5
7,6,0,NA,7-6
8,1,1,NA,8-1
8,2,0,NA,8-2
8,3,1,NA,8-3
8,4,1,NA,8-4
8,5,0,NA,8-5
8,6,0,NA,8-6
9,1,0,NA,9-1
9,2,1,NA,9-2
9,3,1,NA,9-3
9,4,0,NA,9-4
9,5,0,NA,9-5
9,6,0,NA,9-6
0,1,0,NA,0-1
0,2,1,NA,0-2
0,3,1,NA,0-3
0,4,1,NA,0-4
0,5,0,NA,0-5
0,6,0,NA,0-6
